Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
291;CSCO;Cisco Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US17275R1023;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
292;CSGP;CoStar Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US22160N1090;;1,00;0,01;USD;05.08.2019 0:00:00
293;CSII;Cardiovascular Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1416191062;;1,00;0,01;USD;31.10.2019 0:00:00
294;CSL;Carlisle Companies Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US1423391002;;1,00;0,01;USD;31.01.2019 0:00:00
295;CSOD;Cornerstone OnDemand, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US21925Y1038;;1,00;0,01;USD;31.10.2019 0:00:00
296;CSWI;CSW Industrials, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1264021064;;1,00;0,01;USD;11.06.2019 0:00:00
297;CSX;CSX Corporation;Акции;Акции иностранного эмитента обыкновенные;;US1264081035;;1,00;0,01;USD;18.05.2020 0:00:00
298;CTAS;Cintas Corporation;Акции;Акции иностранного эмитента обыкновенные;;US1729081059;;1,00;0,01;USD;06.10.2016 0:00:00
299;CTB;Cooper Tire & Rubber Company;Акции;Акции иностранного эмитента обыкновенные;;US2168311072;;1,00;0,01;USD;04.04.2019 0:00:00
300;CTL;CenturyLink, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1567001060;;1,00;0,01;USD;26.04.2017 0:00:00
301;CTLT;Catalent, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1488061029;;1,00;0,01;USD;31.10.2019 0:00:00
302;CTSH;Cognizant Technology Solutions Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US1924461023;;1,00;0,01;USD;26.04.2017 0:00:00
303;CTVA;Corteva, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US22052L1044;;1,00;0,01;USD;10.06.2019 0:00:00
304;CTXS;Citrix Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1773761002;;1,00;0,01;USD;26.04.2017 0:00:00
305;CVCO;Cavco Industries, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1495681074;;1,00;0,01;USD;11.06.2019 0:00:00
306;CVET;Covetrus, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US22304C1009;;1,00;0,01;USD;19.02.2019 0:00:00
307;CVGW;Calavo Growers, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1282461052;;1,00;0,01;USD;28.02.2019 0:00:00
308;CVLT;Commvault Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2041661024;;1,00;0,01;USD;05.08.2019 0:00:00
309;CVS;CVS Health Corporation;Акции;Акции иностранного эмитента обыкновенные;;US1266501006;;1,00;0,01;USD;26.04.2017 0:00:00
310;CVX;Chevron Corporation;Акции;Акции иностранного эмитента обыкновенные;;US1667641005;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
311;CW;Curtiss-Wright Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2315611010;;1,00;0,01;USD;18.05.2020 0:00:00
312;CXO;Concho Resources Inc.;Акции;Акции иностранного эмитента обыкновенные;;US20605P1012;;1,00;0,01;USD;06.10.2016 0:00:00
313;D;Dominion Energy, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US25746U1097;;1,00;0,01;USD;14.01.2019 0:00:00
314;DAL;Delta Air Lines, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2473617023;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
315;DAR;Darling Ingredients Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2372661015;;1,00;0,01;USD;31.10.2019 0:00:00
316;DBX;Dropbox, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US26210C1045;;1,00;0,01;USD;05.08.2019 0:00:00
317;DCI;Donaldson Company, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2576511099;;1,00;0,01;USD;18.05.2020 0:00:00
318;DD;DuPont de Nemours, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US26614N1028;;1,00;0,01;USD;10.06.2019 0:00:00
319;DDOG;Datadog, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US23804L1035;;1,00;0,01;USD;21.01.2020 0:00:00
320;DDS;Dillard's, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US2540671011;;1,00;0,01;USD;31.01.2019 0:00:00
321;DE;Deere & Company;Акции;Акции иностранного эмитента обыкновенные;;US2441991054;;1,00;0,01;USD;06.10.2016 0:00:00
322;DECK;Deckers Outdoor Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2435371073;;1,00;0,01;USD;31.01.2019 0:00:00
323;DFS;Discover Financial Services;Акции;Акции иностранного эмитента обыкновенные;;US2547091080;;1,00;0,01;USD;26.04.2017 0:00:00
324;DG;Dollar General Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2566771059;;1,00;0,01;USD;06.10.2016 0:00:00
325;DGX;Quest Diagnostics Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US74834L1008;;1,00;0,01;USD;26.04.2017 0:00:00
326;DHI;D.R. Horton, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US23331A1097;;1,00;0,01;USD;26.04.2017 0:00:00
327;DHR;Danaher Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2358511028;;1,00;0,01;USD;06.10.2016 0:00:00
328;DIOD;Diodes Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US2545431015;;1,00;0,01;USD;04.04.2019 0:00:00
329;DIS;The Walt Disney Company;Акции;Акции иностранного эмитента обыкновенные;;US2546871060;;1,00;0,01;USD;25.03.2019 0:00:00
330;DISCA;Discovery, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US25470F1049;;1,00;0,01;USD;26.04.2017 0:00:00
331;DISCB;Discovery, Inc.;Акции;Акции иностранного эмитента обыкновенные класса B;;US25470F2039;;1,00;0,01;USD;11.06.2019 0:00:00
332;DISCK;Discovery, Inc.;Акции;Акции иностранного эмитента обыкновенные класса C;;US25470F3029;;1,00;0,01;USD;26.04.2017 0:00:00
333;DK;Delek US Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US24665A1034;;1,00;0,01;USD;04.04.2019 0:00:00
334;DKS;Dick's Sporting Goods, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2533931026;;1,00;0,01;USD;04.04.2019 0:00:00
335;DLB;Dolby Laboratories, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US25659T1079;;1,00;0,01;USD;04.04.2019 0:00:00
336;DLPH;Delphi Technologies PLC;Акции;Акции иностранного эмитента обыкновенные;;JE00BD85SC56;;1,00;0,01;USD;15.12.2017 0:00:00
337;DLR;Digital Realty Trust, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2538681030;;1,00;0,01;USD;31.08.2017 0:00:00
338;DLTH;Duluth Holdings Inc.;Акции;Акции иностранного эмитента обыкновенные класса B;;US26443V1017;;1,00;0,01;USD;31.10.2019 0:00:00
339;DLTR;Dollar Tree, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2567461080;;1,00;0,01;USD;06.10.2016 0:00:00
340;DLX;Deluxe Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2480191012;;1,00;0,01;USD;28.02.2019 0:00:00
341;DME0223;DME Airport Designated Activity Company;Облигации;Облигации иностранного эмитента;;XS1772800204;;1,00;0,01;PCT;31.10.2018 0:00:00
342;DNLI;Denali Therapeutics Inc.;Акции;Акции иностранного эмитента обыкновенные;;US24823R1059;;1,00;0,01;USD;31.10.2019 0:00:00
343;DNOW;NOW Inc.;Акции;Акции иностранного эмитента обыкновенные;;US67011P1003;;1,00;0,01;USD;05.08.2019 0:00:00
344;DOCU;DocuSign, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2561631068;;1,00;0,01;USD;05.08.2019 0:00:00
345;DORM;Dorman Products, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2582781009;;1,00;0,01;USD;11.06.2019 0:00:00
346;DOV;Dover Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2600031080;;1,00;0,01;USD;06.10.2016 0:00:00
347;DOW;Dow Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2605571031;;1,00;0,01;USD;12.04.2019 0:00:00
348;DPZ;Domino’s Pizza, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US25754A2015;;1,00;0,01;USD;18.05.2020 0:00:00
349;DRI;Darden Restaurants, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2371941053;;1,00;0,01;USD;26.04.2017 0:00:00
350;DRQ;Dril-Quip, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2620371045;;1,00;0,01;USD;04.04.2019 0:00:00
351;DVA;DaVita Inc.;Акции;Акции иностранного эмитента обыкновенные;;US23918K1088;;1,00;0,01;USD;26.04.2017 0:00:00
352;DVN;Devon Energy Corporation;Акции;Акции иностранного эмитента обыкновенные;;US25179M1036;;1,00;0,01;USD;06.10.2016 0:00:00
353;DXC;DXC Technology Company;Акции;Акции иностранного эмитента обыкновенные;;US23355L1061;;1,00;0,01;USD;31.08.2017 0:00:00
354;DXCM;DexCom, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2521311074;;1,00;0,01;USD;05.08.2019 0:00:00
355;DY;Dycom Industries, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2674751019;;1,00;0,01;USD;31.01.2019 0:00:00
356;EA;Electronic Arts Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2855121099;;1,00;0,01;USD;26.04.2017 0:00:00
357;EBAY;eBay Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2786421030;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
358;EBS;Emergent BioSolutions Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29089Q1058;;1,00;0,01;USD;28.02.2019 0:00:00
359;ECHO;Echo Global Logistics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US27875T1016;;1,00;0,01;USD;31.10.2019 0:00:00
360;ECL;Ecolab Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2788651006;;1,00;0,01;USD;26.04.2017 0:00:00
361;ECPG;Encore Capital Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2925541029;;1,00;0,01;USD;31.10.2019 0:00:00
362;ED;Consolidated Edison, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2091151041;;1,00;0,01;USD;31.08.2017 0:00:00
363;EDIT;Editas Medicine, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US28106W1036;;1,00;0,01;USD;31.10.2019 0:00:00
364;EEFT;Euronet Worldwide, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2987361092;;1,00;0,01;USD;05.08.2019 0:00:00
365;EFX;Equifax Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2944291051;;1,00;0,01;USD;06.10.2016 0:00:00
366;EGHT;8x8, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2829141009;;1,00;0,01;USD;31.10.2019 0:00:00
367;EGPT0329;The Arab Republic of Egypt;Облигации;Облигации иностранного эмитента;;XS1953057061;;1,00;0,01;PCT;03.12.2019 0:00:00
368;EGPT0431;The Arab Republic of Egypt;Облигации;Облигации иностранного эмитента;;XS1980255936;;1,00;0,01;PCT;03.12.2019 0:00:00
369;EGRX;Eagle Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2697961082;;1,00;0,01;USD;31.10.2019 0:00:00
370;EHTH;eHealth, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US28238P1093;;1,00;0,01;USD;31.10.2019 0:00:00
371;EIX;Edison International;Акции;Акции иностранного эмитента обыкновенные;;US2810201077;;1,00;0,01;USD;26.04.2017 0:00:00
372;EL;The Estee Lauder Companies Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US5184391044;;1,00;0,01;USD;26.04.2017 0:00:00
373;ELAN;Elanco Animal Health Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US28414H1032;;1,00;0,01;USD;04.04.2019 0:00:00
374;EME;EMCOR Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29084Q1004;;1,00;0,01;USD;18.05.2020 0:00:00
375;EMN;Eastman Chemical Company;Акции;Акции иностранного эмитента обыкновенные;;US2774321002;;1,00;0,01;USD;26.04.2017 0:00:00
376;EMR;Emerson Electric Co.;Акции;Акции иностранного эмитента обыкновенные;;US2910111044;;1,00;0,01;USD;06.10.2016 0:00:00
377;ENDP;Endo International PLC;Акции;Акции иностранного эмитента обыкновенные;;IE00BJ3V9050;;1,00;0,01;USD;26.04.2017 0:00:00
378;ENS;EnerSys;Акции;Акции иностранного эмитента обыкновенные;;US29275Y1029;;1,00;0,01;USD;18.05.2020 0:00:00
379;ENSG;The Ensign Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29358P1012;;1,00;0,01;USD;28.02.2019 0:00:00
380;ENTA;Enanta Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29251M1062;;1,00;0,01;USD;28.02.2019 0:00:00
381;ENTG;Entegris, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29362U1043;;1,00;0,01;USD;18.05.2020 0:00:00
382;ENV;Envestnet, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29404K1060;;1,00;0,01;USD;11.06.2019 0:00:00
383;EOG;EOG Resources, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US26875P1012;;1,00;0,01;USD;06.10.2016 0:00:00
384;EPAM;EPAM Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29414B1044;;1,00;0,01;USD;31.01.2019 0:00:00
385;EPAY;Bottomline Technologies (de), Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1013881065;;1,00;0,01;USD;04.04.2019 0:00:00
386;EPC;Edgewell Personal Care Company;Акции;Акции иностранного эмитента обыкновенные;;US28035Q1022;;1,00;0,01;USD;11.06.2019 0:00:00
387;EQIX;Equinix, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29444U7000;;1,00;0,01;USD;26.04.2017 0:00:00
388;EQT;EQT Corporation;Акции;Акции иностранного эмитента обыкновенные;;US26884L1098;;1,00;0,01;USD;26.04.2017 0:00:00
389;ERIE;Erie Indemnity Company;Акции;Акции иностранного эмитента обыкновенные класса A;;US29530P1021;;1,00;0,01;USD;28.02.2019 0:00:00
390;ES;Eversource Energy;Акции;Акции иностранного эмитента обыкновенные;;US30040W1080;;1,00;0,01;USD;26.04.2017 0:00:00
391;ESPR;Esperion Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29664W1053;;1,00;0,01;USD;31.10.2019 0:00:00
392;ESS;Essex Property Trust, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2971781057;;1,00;0,01;USD;26.04.2017 0:00:00
393;ET;Energy Transfer LP;Акции;Акции иностранного эмитента обыкновенные;;US29273V1008;ESVUFR;1,00;0,01;USD;13.11.2018 0:00:00
394;ETFC;E*TRADE Financial Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2692464017;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
395;ETN;Eaton Corporation plc;Акции;Акции иностранного эмитента обыкновенные;;IE00B8KQN827;;1,00;0,01;USD;06.10.2016 0:00:00
396;ETR;Entergy Corporation;Акции;Акции иностранного эмитента обыкновенные;;US29364G1031;;1,00;0,01;USD;02.03.2020 0:00:00
397;ETRN;Equitrans Midstream Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2946001011;;1,00;0,01;USD;29.11.2018 0:00:00
398;ETSY;Etsy, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29786A1060;;1,00;0,01;USD;31.01.2019 0:00:00
399;EV;Eaton Vance Corp.;Акции;Акции иностранного эмитента обыкновенные;;US2782651036;;1,00;0,01;USD;18.05.2020 0:00:00
400;EVBG;Everbridge, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29978A1043;;1,00;0,01;USD;31.10.2019 0:00:00
401;EVH;Evolent Health, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US30050B1017;;1,00;0,01;USD;05.08.2019 0:00:00
402;EVR;Evercore Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US29977A1051;;1,00;0,01;USD;18.05.2020 0:00:00
403;EVRZ0323;EVRAZ plc;Облигации;Облигации иностранного эмитента;;XS1533915721;;1,00;0,01;PCT;15.10.2018 0:00:00
404;EW;Edwards Lifesciences Corporation;Акции;Акции иностранного эмитента обыкновенные;;US28176E1082;;1,00;0,01;USD;26.04.2017 0:00:00
405;EWBC;East West Bancorp, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US27579R1041;;1,00;0,01;USD;18.05.2020 0:00:00
406;EXAS;Exact Sciences Corporation;Акции;Акции иностранного эмитента обыкновенные;;US30063P1057;;1,00;0,01;USD;05.08.2019 0:00:00
407;EXC;Exelon Corporation;Акции;Акции иностранного эмитента обыкновенные;;US30161N1019;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
408;EXEL;Exelixis, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30161Q1040;;1,00;0,01;USD;05.08.2019 0:00:00
409;EXLS;ExlService Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3020811044;;1,00;0,01;USD;28.02.2019 0:00:00
410;EXP;Eagle Materials Inc.;Акции;Акции иностранного эмитента обыкновенные;;US26969P1084;;1,00;0,01;USD;31.01.2019 0:00:00
411;EXPD;Expeditors International of Washington, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3021301094;;1,00;0,01;USD;06.10.2016 0:00:00
412;EXPE;Expedia Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30212P3038;;1,00;0,01;USD;26.04.2017 0:00:00
413;EXR;Extra Space Storage Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30225T1025;;1,00;0,01;USD;26.04.2017 0:00:00
414;EYE;National Vision Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US63845R1077;;1,00;0,01;USD;11.06.2019 0:00:00
415;F;Ford Motor Company;Акции;Акции иностранного эмитента  обыкновенные;;US3453708600;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
416;FANG;Diamondback Energy, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US25278X1090;;1,00;0,01;USD;31.01.2019 0:00:00
417;FARO;FARO Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3116421021;;1,00;0,01;USD;28.02.2019 0:00:00
418;FAST;Fastenal Company;Акции;Акции иностранного эмитента обыкновенные;;US3119001044;;1,00;0,01;USD;19.10.2016 0:00:00
419;FATE;Fate Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US31189P1021;;1,00;0,01;USD;31.10.2019 0:00:00
420;FB;Facebook, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US30303M1027;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
421;FBHS;Fortune Brands Home & Security, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US34964C1062;;1,00;0,01;USD;31.08.2017 0:00:00
422;FCFS;FirstCash, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US33767D1054;;1,00;0,01;USD;18.05.2020 0:00:00
423;FCN;FTI Consulting, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3029411093;;1,00;0,01;USD;28.02.2019 0:00:00
424;FCX;Freeport-McMoRan Inc.;Акции;Акции иностранного эмитента обыкновенные;;US35671D8570;;1,00;0,01;USD;19.10.2016 0:00:00
425;FDS;FactSet Research Systems Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3030751057;;1,00;0,01;USD;31.01.2019 0:00:00
426;FDX;FedEx Corporation;Акции;Акции иностранного эмитента обыкновенные;;US31428X1063;;1,00;0,01;USD;19.10.2016 0:00:00
427;FFIV;F5 Networks, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3156161024;;1,00;0,01;USD;01.06.2017 0:00:00
428;FGEN;FibroGen, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US31572Q8087;;1,00;0,01;USD;05.08.2019 0:00:00
429;FICO;Fair Isaac Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3032501047;;1,00;0,01;USD;05.08.2019 0:00:00
430;FIS;Fidelity National Information Services, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US31620M1062;;1,00;0,01;USD;01.06.2017 0:00:00
431;FISV;Fiserv, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3377381088;;1,00;0,01;USD;01.06.2017 0:00:00
432;FITB;Fifth Third Bancorp;Акции;Акции иностранного эмитента обыкновенные;;US3167731005;;1,00;0,01;USD;14.06.2017 0:00:00
433;FIVE;Five Below, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US33829M1018;;1,00;0,01;USD;04.04.2019 0:00:00
434;FIVN;Five9, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3383071012;;1,00;0,01;USD;05.08.2019 0:00:00
435;FIZZ;National Beverage Corp.;Акции;Акции иностранного эмитента обыкновенные;;US6350171061;;1,00;0,01;USD;11.06.2019 0:00:00
436;FL;Foot Locker, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3448491049;;1,00;0,01;USD;09.08.2018 0:00:00
437;FLIR;FLIR Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3024451011;;1,00;0,01;USD;14.06.2017 0:00:00
438;FLOW;SPX FLOW, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US78469X1072;;1,00;0,01;USD;11.06.2019 0:00:00
439;FLR;Fluor Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3434121022;;1,00;0,01;USD;19.10.2016 0:00:00
440;FLS;Flowserve Corporation;Акции;Акции иностранного эмитента обыкновенные;;US34354P1057;;1,00;0,01;USD;19.10.2016 0:00:00
441;FLT;FleetCor Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3390411052;;1,00;0,01;USD;31.01.2019 0:00:00
442;FLWS;1-800-FLOWERS.COM, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US68243Q1067;;1,00;0,01;USD;31.10.2019 0:00:00
443;FMC;FMC Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3024913036;;1,00;0,01;USD;01.06.2017 0:00:00
444;FND;Floor & Decor Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3397501012;;1,00;0,01;USD;04.04.2019 0:00:00
445;FNKO;Funko, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3610081057;;1,00;0,01;USD;31.10.2019 0:00:00
446;FOCS;Focus Financial Partners Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US34417P1003;;1,00;0,01;USD;31.10.2019 0:00:00
447;FOE;Ferro Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3154051003;;1,00;0,01;USD;31.10.2019 0:00:00
448;FORM;FormFactor, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3463751087;;1,00;0,01;USD;31.10.2019 0:00:00
449;FORR;Forrester Research, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3465631097;;1,00;0,01;USD;11.06.2019 0:00:00
450;FOX;Fox Corporation;Акции;Акции иностранного эмитента обыкновенные класса B;;US35137L2043;;1,00;0,01;USD;25.03.2019 0:00:00
451;FOXA;Fox Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US35137L1052;;1,00;0,01;USD;25.03.2019 0:00:00
452;FOXF;Fox Factory Holding Corp.;Акции;Акции иностранного эмитента обыкновенные;;US35138V1026;;1,00;0,01;USD;11.06.2019 0:00:00
453;FRHC;Freedom Holding Corp.;Акции;Акции иностранного эмитента обыкновенные;;US3563901046;;1,00;0,01;USD;16.10.2019 0:00:00
454;FRPH;FRP Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30292L1070;;1,00;0,01;USD;11.06.2019 0:00:00
455;FRPT;Freshpet, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3580391056;;1,00;0,01;USD;31.10.2019 0:00:00
456;FSCT;Forescout Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US34553D1019;;1,00;0,01;USD;31.10.2019 0:00:00
457;FSLR;First Solar, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3364331070;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
458;FSLY;Fastly, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US31188V1008;;1,00;0,01;USD;31.10.2019 0:00:00
459;FTI;TechnipFMC plc;Акции;Акции иностранного эмитента обыкновенные;;GB00BDSFG982;;1,00;0,01;USD;31.08.2017 0:00:00
460;FTNT;Fortinet, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US34959E1091;;1,00;0,01;USD;31.01.2019 0:00:00
461;FTV;Fortive Corporation;Акции;Акции иностранного эмитента обыкновенные;;US34959J1088;;1,00;0,01;USD;31.08.2017 0:00:00
462;FUL;H.B. Fuller Company;Акции;Акции иностранного эмитента обыкновенные;;US3596941068;;1,00;0,01;USD;28.02.2019 0:00:00
463;GAZP0322;Gaz Capital S.A.;Облигации;Облигации иностранного эмитента;;XS0290580595;;1,00;0,01;PCT;31.10.2018 0:00:00
464;GAZP0327;Gaz Capital S.A.;Облигации;Облигации иностранного эмитента;;XS1585190389;;1,00;0,01;PCT;31.10.2018 0:00:00
465;GAZP0837;Gaz Capital S.A.;Облигации;Облигации иностранного эмитента;;XS0316524130;DTFXGR;1,00;0,01;PCT;06.12.2017 0:00:00
466;GAZP1124;Gaz Capital S.A.;Облигации;Облигации иностранного эмитента;;XS1721463500;;1,00;0,01;PCT;25.09.2018 0:00:00
467;GBCI;Glacier Bancorp, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US37637Q1058;;1,00;0,01;USD;18.05.2020 0:00:00
468;GBT;Global Blood Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US37890U1088;;1,00;0,01;USD;05.08.2019 0:00:00
469;GBX;The Greenbrier Companies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3936571013;;1,00;0,01;USD;28.02.2019 0:00:00
470;GCO;Genesco Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3715321028;;1,00;0,01;USD;11.06.2019 0:00:00
471;GCP;GCP Applied Technologies Inc.;Акции;Акции иностранного эмитента обыкновенные;;US36164Y1010;;1,00;0,01;USD;11.06.2019 0:00:00
472;GD;General Dynamics Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3695501086;;1,00;0,01;USD;19.10.2016 0:00:00
473;GDDY;GoDaddy Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3802371076;;1,00;0,01;USD;04.04.2019 0:00:00
474;GDOT;Green Dot Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US39304D1028;;1,00;0,01;USD;28.02.2019 0:00:00
475;GE;General Electric Company;Акции;Акции иностранного эмитента обыкновенные;;US3696041033;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
476;GEF;Greif, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3976241071;;1,00;0,01;USD;28.02.2019 0:00:00
477;GGG;Graco Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3841091040;;1,00;0,01;USD;18.05.2020 0:00:00
478;GH;Guardant Health, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US40131M1099;;1,00;0,01;USD;05.08.2019 0:00:00
