Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
231;CHA;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные класса H;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций класса H China Telecom Corporation Limited;US1694261033;ESVUFA;1,00;0,01;USD;09.07.2018 0:00:00
232;CHD;Church & Dwight Co., Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1713401024;;1,00;0,01;USD;26.04.2017 0:00:00
233;CHDN;Churchill Downs Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US1714841087;;1,00;0,01;USD;04.04.2019 0:00:00
234;CHE;Chemed Corporation;Акции;Акции иностранного эмитента обыкновенные;;US16359R1032;;1,00;0,01;USD;04.04.2019 0:00:00
235;CHEF;The Chefs’ Warehouse, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1630861011;;1,00;0,01;USD;31.10.2019 0:00:00
236;CHGG;Chegg, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1630921096;;1,00;0,01;USD;05.08.2019 0:00:00
237;CHH;Choice Hotels International, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1699051066;;1,00;0,01;USD;18.05.2020 0:00:00
238;CHK;Chesapeake Energy Corporation;Акции;Акции иностранного эмитента обыкновенные;;US1651677437;;1,00;0,01;USD;20.04.2020 0:00:00
239;CHL;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций China Mobile Limited;US16941M1099;ESVUFA;1,00;0,01;USD;26.08.2016 0:00:00
240;CHMF1022;Steel Capital S.A.;Облигации;Облигации иностранного эмитента;;XS0841671000;;1,00;0,01;PCT;31.10.2018 0:00:00
241;CHNG;Change Healthcare Inc.;Акции;Акции иностранного эмитента обыкновенные;;US15912K1007;;1,00;0,01;USD;24.03.2020 0:00:00
242;CHRW;C.H. Robinson Worldwide, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US12541W2098;;1,00;0,01;USD;06.10.2016 0:00:00
243;CHTR;Charter Communications, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US16119P1084;;1,00;0,01;USD;31.08.2017 0:00:00
244;CI;Cigna Corporation;Акции;Акции иностранного эмитента обыкновенные;;US1255231003;;1,00;0,01;USD;03.01.2019 0:00:00
245;CIEN;Ciena Corporation;Акции;Акции иностранного эмитента обыкновенные;;US1717793095;;1,00;0,01;USD;05.08.2019 0:00:00
246;CINF;Cincinnati Financial Corporation;Акции;Акции иностранного эмитента обыкновенные;;US1720621010;;1,00;0,01;USD;26.04.2017 0:00:00
247;CL;Colgate-Palmolive Company;Акции;Акции иностранного эмитента обыкновенные;;US1941621039;;1,00;0,01;USD;26.04.2017 0:00:00
