AWK P/E =  34.57 P/B =  3.50 Price = 120.71
AWR P/E =  34.43 P/B =  4.85 Price = 79.61
AX P/E =  6.98 P/B =  1.05 Price = 20.28
AXE P/E =  12.53 P/B =  1.77 Price = 94.44
AXGN P/E =  - P/B =  2.52 Price = 7.90
AXP P/E =  13.53 P/B =  3.43 Price = 89.33
AXSM P/E =  - P/B =  19.22 Price = 80.90
AYI P/E =  11.30 P/B =  1.64 Price = 84.78
AYX P/E =  - P/B =  22.86 Price = 148.60
AZO P/E =  17.14 P/B =  - Price = 1122.94
AZPN P/E =  28.36 P/B =  16.72 Price = 94.97
BA P/E =  - P/B =  - Price = 137.53
BABA P/E =  21.86 P/B =  5.04 Price = 199.70
BAC P/E =  9.25 P/B =  0.83 Price = 22.66
BAH P/E =  24.83 P/B =  11.63 Price = 75.81
BAND P/E =  - P/B =  8.02 Price = 111.77
BAX P/E =  56.89 P/B =  5.72 Price = 86.93
BBBY P/E =  - P/B =  0.47 Price = 6.70
BBSI P/E =  7.48 P/B =  2.13 Price = 45.67
BBY P/E =  14.22 P/B =  5.78 Price = 76.92
BC P/E =  153.29 P/B =  3.26 Price = 53.19
BCO P/E =  126.47 P/B =  30.89 Price = 40.47
BCPC P/E =  37.60 P/B =  3.91 Price = 93.29
BDC P/E =  16.17 P/B =  1.49 Price = 31.02
BDX P/E =  77.08 P/B =  3.11 Price = 239.25
BEAT P/E =  65.46 P/B =  4.12 Price = 45.43
BECN P/E =  - P/B =  0.92 Price = 22.75
BEN P/E =  9.17 P/B =  0.89 Price = 17.89
BERY P/E =  13.29 P/B =  3.27 Price = 40.72
BFAM P/E =  36.99 P/B =  6.55 Price = 106.04
BFYT P/E =  - P/B =  3.59 Price = 21.65
BH P/E =  - P/B =  0.25 Price = 58.86
BHF P/E =  0.62 P/B =  0.15 Price = 28.85
BIDU P/E =  110.38 P/B =  1.56 Price = 103.32
BIG P/E =  5.24 P/B =  1.50 Price = 32.43
